behavior,behavior_id,animal_id,group_id,phase
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 upper_ob,1,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 none,2,B01,aged,sample
 upper_ob,3,B01,aged,sample
 upper_ob,3,B01,aged,sample
 upper_ob,3,B01,aged,sample
 upper_ob,3,B01,aged,sample
