behavior,behavior_id,animal_id,group_id,phase
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 lower_ob,1,B8.07,aged,sample
 none,2,B8.07,aged,sample
 none,2,B8.07,aged,sample
 none,2,B8.07,aged,sample
 lower_ob,3,B8.07,aged,sample
 lower_ob,3,B8.07,aged,sample
 lower_ob,3,B8.07,aged,sample
 lower_ob,3,B8.07,aged,sample
 lower_ob,3,B8.07,aged,sample
 lower_ob,3,B8.07,aged,sample
 lower_ob,3,B8.07,aged,sample
 lower_ob,3,B8.07,aged,sample
 lower_ob,3,B8.07,aged,sample
 none,4,B8.07,aged,sample
 none,4,B8.07,aged,sample
 none,4,B8.07,aged,sample
 none,4,B8.07,aged,sample
 none,4,B8.07,aged,sample
 none,4,B8.07,aged,sample
 none,4,B8.07,aged,sample
 none,4,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
 lower_ob,5,B8.07,aged,sample
