behavior,behavior_id,animal_id,group_id,phase
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 standing,1,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
 None,2,B12,young,sample
