behavior,behavior_id,animal_id,group_id,phase
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 None,1,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 frozen,2,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 None,3,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
 standing,4,B6.18,young,sample
