animal_id,group_id,phase,overall_det,first_half_det,second_half_det
B01,aged,sample,0.39364773820981713,0.30434782608695654,0.41823242867084204
B02,aged,sample,0.5139949109414759,0.3142857142857143,0.45714285714285713
B03,aged,sample,0.35567715458276333,0.07142857142857142,0.32439678284182305
B04,aged,sample,0.5275862068965518,0.43820224719101125,0.46482122260668973
B05,aged,sample,0.4440509915014164,0.42016806722689076,0.42837653478854026
B06,aged,sample,0.6532663316582915,0.5113636363636364,0.5822021116138764
B07,aged,sample,0.5120481927710844,0.49324324324324326,0.5460218408736349
B08,aged,sample,0.4796747967479675,0.35374149659863946,0.47249647390691113
B10,aged,sample,0.45491293532338306,0.5298013245033113,0.41678453559641676
B12,aged,sample,0.5617673579801623,0.5739130434782609,0.4926829268292683
B15,aged,sample,0.3974630021141649,0.1864406779661017,0.35432230522945574
B22,aged,sample,0.4488888888888889,0.27906976744186046,0.44871794871794873
B6.02,aged,sample,0.39384615384615385,0.2698412698412698,0.4136690647482014
B6.04,aged,sample,0.4378988708885616,0.5012722646310432,0.3932885906040268
B6.05,aged,sample,0.6108905275099262,0.3813559322033898,0.6018145161290323
B6.08,aged,sample,0.45176470588235296,0.39357429718875503,0.41480298189563364
B6.09,aged,sample,0.62586115527292,0.7494305239179955,0.4992887624466572
B6.11,aged,sample,0.4841108857336038,0.23529411764705882,0.517193947730399
B6.12,aged,sample,0.49498770569320977,0.5294117647058824,0.40840190558683415
B6.16,aged,sample,0.42036124794745483,0.421875,0.3864168618266979
B6.20,aged,sample,0.4176372712146423,0.5752212389380531,0.4329501915708812
B8.03,aged,sample,0.5722041259500543,0.648936170212766,0.5205223880597015
B8.05,aged,sample,0.41337167505391803,0.4358974358974359,0.35374149659863946
B8.07,aged,sample,0.31745049504950495,0.5185185185185185,0.25297619047619047
F1.01,aged,sample,0.4874847374847375,0.34523809523809523,0.45206766917293234
F1.02,aged,sample,0.4863505747126437,0.5773195876288659,0.43614457831325304
F1.03,aged,sample,0.49592911877394635,0.45901639344262296,0.4728894989704873
F1.04,aged,sample,0.518578352180937,0.32978723404255317,0.4969512195121951
F1.05,aged,sample,0.6085603112840466,0.6274509803921569,0.5336134453781513
F1.06,aged,sample,0.617686170212766,0.4158415841584158,0.645124716553288
F1.07,aged,sample,0.5101500441306267,0.2777777777777778,0.4826762246117085
F1.08,aged,sample,0.6040061633281972,0.45121951219512196,0.5857418111753372
F1.09,aged,sample,0.5300053106744557,0,0.5131761442441054
F1.10,aged,sample,0.5310519645120405,0.4044665012406948,0.46763392857142855
F1.11,aged,sample,0.44029850746268656,0.39622641509433965,0.43261608154020387
F1.12,aged,sample,0.34577114427860695,0.25862068965517243,0.3508137432188065
F1.14,aged,sample,0.48917748917748916,0.5164835164835165,0.5980284775465499
F1.16,aged,sample,0.49440715883668906,0.4166666666666667,0.4906716417910448
F1.18,aged,sample,0.6347722299582256,0.5246636771300448,0.6300422589320015
F5.01,aged,sample,0.5430016863406408,0.4457831325301205,0.5431931252826775
F5.02,aged,sample,0.37479541734860883,0.44,0.37039819684447783
F5.03,aged,sample,0.6821991760193209,0.4206896551724138,0.7085082029759634
F5.04,aged,sample,0.48990228013029313,0.41102756892230574,0.49329123914759276
F5.05,aged,sample,0.4790665751544269,0,0.3747628083491461
F5.06,aged,sample,0.617854001759015,0.5692307692307692,0.5913461538461539
F5.07,aged,sample,0.597301717089125,0.7962264150943397,0.5932896890343698
F5.08,aged,sample,0.4105425824175824,0.7748344370860927,0.34722613348352577
F5.10,aged,sample,0.5793907971484121,0.40716612377850164,0.5568181818181818
F5.11,aged,sample,0.47843035343035345,0.5315487571701721,0.4197014925373134
F8.01,aged,sample,0.5978708791208791,0.3705357142857143,0.5916398713826366
F8.02,aged,sample,0.5412517780938834,0.44660194174757284,0.49738903394255873
