animal_id,group_id,phase,det
B01,aged,sample,0.3147340889276373
B02,aged,sample,0.424721734036321
B03,aged,sample,0.3659043659043659
B04,aged,sample,0.41092636579572445
B05,aged,sample,0.2755244755244755
B06,aged,sample,0.38058659217877094
B07,aged,sample,0.404750593824228
B08,aged,sample,0.34520725388601037
B10,aged,sample,0.3423615337796713
B12,aged,sample,0.37047126123672025
B15,aged,sample,0.3175416133162612
B22,aged,sample,0.5622222222222222
B6.02,aged,sample,0.30265995686556435
B6.04,aged,sample,0.3713290194126431
B6.05,aged,sample,0.5122927387078331
B6.08,aged,sample,0.32174955062911925
B6.09,aged,sample,0.45250126326427487
B6.11,aged,sample,0.4181229773462783
B6.12,aged,sample,0.28951426368542793
B6.16,aged,sample,0.32644628099173556
B6.20,aged,sample,0.33431516936671574
B8.03,aged,sample,0.5199150292087095
B8.05,aged,sample,0.2651734104046243
B8.07,aged,sample,0.20171214553237024
F1.01,aged,sample,0.4027777777777778
F1.02,aged,sample,0.35947712418300654
F1.03,aged,sample,0.39274636125029827
F1.04,aged,sample,0.3474250576479631
F1.05,aged,sample,0.3846689895470383
F1.06,aged,sample,0.4248322147651007
F1.07,aged,sample,0.29789103690685415
F1.08,aged,sample,0.5430533544638141
F1.09,aged,sample,0.47289318303811056
F1.10,aged,sample,0.3774891774891775
F1.11,aged,sample,0.4227053140096618
F1.12,aged,sample,0.2583547557840617
F1.14,aged,sample,0.27978933508887427
F1.16,aged,sample,0.40245261984392416
F1.18,aged,sample,0.6081081081081081
F5.01,aged,sample,0.37664473684210525
F5.02,aged,sample,0.25941080196399346
F5.03,aged,sample,0.5848787446504993
F5.04,aged,sample,0.3074115665356541
F5.05,aged,sample,0.4728894989704873
F5.06,aged,sample,0.5549621717846017
F5.07,aged,sample,0.4225463145447379
F5.08,aged,sample,0.34542614129491406
F5.10,aged,sample,0.5101906640368179
F5.11,aged,sample,0.38884585592563903
F8.01,aged,sample,0.44601412714429867
F8.02,aged,sample,0.2984550561797753
F8.03,aged,sample,0.2928321678321678
F8.05,aged,sample,0.3456896551724138
F8.06,aged,sample,0.35588580367618305
F8.08,aged,sample,0.31114718614718617
F8.10,aged,sample,0.34
F8.12,aged,sample,0.3743826144221271
F8.14,aged,sample,0.3402203856749311
F8.16,aged,sample,0.3016393442622951
F8.18,aged,sample,0.3783251231527094
F8.20,aged,sample,0.32798672566371684
B01,young,sample,0.4562446898895497
B02,young,sample,0.476056338028169
B03,young,sample,0.35131941709334386
B04,young,sample,0.6000587716720541
B05,young,sample,0.4370015948963317
B06,young,sample,0.47290874524714827
B07,young,sample,0.3600283486888731
B08,young,sample,0.38463759745885073
B09,young,sample,0.5095119933829612
B10,young,sample,0.37516617920765755
B11,young,sample,0.4444444444444444
B12,young,sample,0.4902456647398844
B13,young,sample,0.37326273990734615
B14,young,sample,0.29747089522280207
B15,young,sample,0.3121563836285889
B16,young,sample,0.46493728620296465
B18,young,sample,0.5830860534124629
B20,young,sample,0.34464341815896954
B22,young,sample,0.35004296763105125
B24,young,sample,0.5441734417344174
B6.01,young,sample,0.25151209677419356
B6.02,young,sample,0.4574868322046652
B6.03,young,sample,0.3630705394190871
B6.04,young,sample,0.3830798479087453
B6.05,young,sample,0.32351816443594644
B6.06,young,sample,0.4371053909664886
B6.07,young,sample,0.3858657243816254
B6.08,young,sample,0.38189708617482954
B6.09,young,sample,0.2995529061102832
B6.10,young,sample,0.5464203233256351
B6.11,young,sample,0.3534065934065934
B6.12,young,sample,0.5244947948560931
B6.13,young,sample,0.2631063204311612
B6.14,young,sample,0.429137323943662
B6.16,young,sample,0.3280402788536019
B6.18,young,sample,0.4226552984165652
B6.20,young,sample,0.4652066407629813
B8.01,young,sample,0.31388329979879276
B8.02,young,sample,0.540436005625879
B8.03,young,sample,0.24556737588652483
B8.04,young,sample,0.3237913486005089
B8.05,young,sample,0.39021852237252863
B8.06,young,sample,0.49960443037974683
B8.07,young,sample,0.3295964125560538
B8.09,young,sample,0.49434937035841137
B8.11,young,sample,0.25079770261646456
B8.13,young,sample,0.25925925925925924
F1a.01,young,sample,0.5445765230312035
F1a.02,young,sample,0.6062822719449226
F1a.03,young,sample,0.3611410118406889
F1a.04,young,sample,0.3555992141453831
F1a.05,young,sample,0.5551481820959364
F1a.06,young,sample,0.5871130309575234
F1a.07,young,sample,0.33369330453563717
F1a.08,young,sample,0.6139630390143738
F1a.09,young,sample,0.4436401240951396
F1a.10,young,sample,0.5011614401858304
F1a.11,young,sample,0.4114822091246453
F1a.12,young,sample,0.6786697247706422
F1a.14,young,sample,0.4549152542372881
F1a.16,young,sample,0.5588235294117647
F1a.18,young,sample,0.5866093366093366
F5a.01,young,sample,0.3405940594059406
F5a.02,young,sample,0.4172699069286453
F5a.03,young,sample,0.34185303514376997
F5a.04,young,sample,0.5304839723444374
F5a.05,young,sample,0.48491497531541417
F5a.06,young,sample,0.6356443104747551
F5a.07,young,sample,0.33946642134314625
F5a.08,young,sample,0.5868968222832484
F5a.09,young,sample,0.36250861474844936
F5a.10,young,sample,0.5255448374419436
F5a.11,young,sample,0.43993506493506496
F8a.01,young,sample,0.44023569023569026
F8a.02,young,sample,0.37598736176935227
F8a.03,young,sample,0.32671957671957674
F8a.04,young,sample,0.6870015948963317
F8a.05,young,sample,0.3207810320781032
F8a.06,young,sample,0.4376875375075015
F8a.08,young,sample,0.5054413542926239
F8a.10,young,sample,0.48753462603878117
F8a.12,young,sample,0.3590058300092053
F8a.14,young,sample,0.5587318087318087
F8a.16,young,sample,0.275282526803825
F8a.18,young,sample,0.2690951821386604
F8a.20,young,sample,0.4340508806262231
