animal_id,group_id,phase,det
B01,aged,sample,0.39364773820981713
B02,aged,sample,0.5139949109414759
B03,aged,sample,0.35567715458276333
B04,aged,sample,0.5275862068965518
B05,aged,sample,0.4440509915014164
B06,aged,sample,0.6532663316582915
B07,aged,sample,0.5120481927710844
B08,aged,sample,0.4796747967479675
B10,aged,sample,0.45491293532338306
B12,aged,sample,0.5617673579801623
B15,aged,sample,0.3974630021141649
B22,aged,sample,0.4488888888888889
B6.02,aged,sample,0.39384615384615385
B6.04,aged,sample,0.4378988708885616
B6.05,aged,sample,0.6108905275099262
B6.08,aged,sample,0.45176470588235296
B6.09,aged,sample,0.62586115527292
B6.11,aged,sample,0.4841108857336038
B6.12,aged,sample,0.49498770569320977
B6.16,aged,sample,0.42036124794745483
B6.20,aged,sample,0.4176372712146423
B8.03,aged,sample,0.5722041259500543
B8.05,aged,sample,0.41337167505391803
B8.07,aged,sample,0.31745049504950495
F1.01,aged,sample,0.4874847374847375
F1.02,aged,sample,0.4863505747126437
F1.03,aged,sample,0.49592911877394635
F1.04,aged,sample,0.518578352180937
F1.05,aged,sample,0.6085603112840466
F1.06,aged,sample,0.617686170212766
F1.07,aged,sample,0.5101500441306267
F1.08,aged,sample,0.6040061633281972
F1.09,aged,sample,0.5300053106744557
F1.10,aged,sample,0.5310519645120405
F1.11,aged,sample,0.44029850746268656
F1.12,aged,sample,0.34577114427860695
F1.14,aged,sample,0.48917748917748916
F1.16,aged,sample,0.49440715883668906
F1.18,aged,sample,0.6347722299582256
F5.01,aged,sample,0.5430016863406408
F5.02,aged,sample,0.37479541734860883
F5.03,aged,sample,0.6821991760193209
F5.04,aged,sample,0.48990228013029313
F5.05,aged,sample,0.4790665751544269
F5.06,aged,sample,0.617854001759015
F5.07,aged,sample,0.597301717089125
F5.08,aged,sample,0.4105425824175824
F5.10,aged,sample,0.5793907971484121
F5.11,aged,sample,0.47843035343035345
F8.01,aged,sample,0.5978708791208791
F8.02,aged,sample,0.5412517780938834
F8.03,aged,sample,0.5247878517195177
F8.05,aged,sample,0.535671100362757
F8.06,aged,sample,0.5357007933509633
F8.08,aged,sample,0.5166840458811262
F8.10,aged,sample,0.5339299030574198
F8.12,aged,sample,0.529901356350185
F8.14,aged,sample,0.5187728937728938
F8.16,aged,sample,0.5079075425790754
F8.18,aged,sample,0.5073552425665102
F8.20,aged,sample,0.4375750300120048
B01,young,sample,0.5275819162173372
B02,young,sample,0.598314606741573
B03,young,sample,0.4801999231064975
B04,young,sample,0.6269264321023553
B05,young,sample,0.5079691516709511
B06,young,sample,0.5944444444444444
B07,young,sample,0.4411663807890223
B08,young,sample,0.5196872382016197
B09,young,sample,0.5918119173084718
B10,young,sample,0.42216854535695114
B11,young,sample,0.4945515507124895
B12,young,sample,0.5494584837545127
B13,young,sample,0.4627642276422764
B14,young,sample,0.4651647893199833
B15,young,sample,0.4059549745824256
B16,young,sample,0.5289279636982417
B18,young,sample,0.6644450883801797
B20,young,sample,0.46077825818406426
B22,young,sample,0.447520184544406
B24,young,sample,0.5716603569497025
B6.01,young,sample,0.46335341365461846
B6.02,young,sample,0.55007473841554555
B6.03,young,sample,0.49527806925498424
B6.04,young,sample,0.4435946462715105
B6.05,young,sample,0.45639771801140994
B6.06,young,sample,0.530091478093404
B6.07,young,sample,0.48214892893573613
B6.08,young,sample,0.561667631731326
B6.09,young,sample,0.44711538461538464
B6.10,young,sample,0.5768518518518518
B6.11,young,sample,0.5283256399496433
B6.12,young,sample,0.5755903097209445
B6.13,young,sample,0.3957404655770183
B6.14,young,sample,0.4993234100135318
B6.16,young,sample,0.4407658556043079
B6.18,young,sample,0.5577519379844961
B6.20,young,sample,0.5675770308123249
B8.01,young,sample,0.3981687014428413
B8.02,young,sample,0.5897699965671129
B8.03,young,sample,0.3451730418943534
B8.04,young,sample,0.4108974358974359
B8.05,young,sample,0.5175531914893617
B8.06,young,sample,0.5566969577242197
B8.07,young,sample,0.42531120331950206
B8.09,young,sample,0.5761791652527994
B8.11,young,sample,0.4270833333333333
B8.13,young,sample,0.4548540393754243
F1a.01,young,sample,0.6175308641975309
F1a.02,young,sample,0.6513129573826948
F1a.03,young,sample,0.5087448559670782
F1a.04,young,sample,0.45068664169787764
F1a.05,young,sample,0.6193078324225865
F1a.06,young,sample,0.6024955436720143
F1a.07,young,sample,0.4385330578512397
F1a.08,young,sample,0.6238612988539524
F1a.09,young,sample,0.557738710789383
F1a.10,young,sample,0.555352798053528
F1a.11,young,sample,0.5035675675675676
F1a.12,young,sample,0.7030178326474623
F1a.14,young,sample,0.5657216494845361
F1a.16,young,sample,0.5821917808219178
F1a.18,young,sample,0.6118902439024391
F5a.01,young,sample,0.4533954727030626
F5a.02,young,sample,0.5402719665271967
F5a.03,young,sample,0.3599615014436959
F5a.04,young,sample,0.5937012784533833
F5a.05,young,sample,0.5943496801705757
F5a.06,young,sample,0.6949025487256372
F5a.07,young,sample,0.6057168784029038
F5a.08,young,sample,0.621875
F5a.09,young,sample,0.4446074834922964
F5a.10,young,sample,0.5385977337110481
F5a.11,young,sample,0.5393457117595049
F8a.01,young,sample,0.5309859154929577
F8a.02,young,sample,0.4467005076142132
F8a.03,young,sample,0.43738977072310403
F8a.04,young,sample,0.7189853349187475
F8a.05,young,sample,0.51875
F8a.06,young,sample,0.5443962115232833
F8a.08,young,sample,0.5456341367048597
F8a.10,young,sample,0.5123830489818382
F8a.12,young,sample,0.4744399770246984
F8a.14,young,sample,0.5849251419721219
F8a.16,young,sample,0.3587054240335631
F8a.18,young,sample,0.4406485234510712
F8a.20,young,sample,0.5566194837635304
